Player;Nation;Pos;Age;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;G+A-PK;clubs;DomesticTitles;EuropeanTitles;NationalTeamWin;TeamTitles;GoalsPer90;xGPer90;xAPer90;xGContribution;FairPlayScore
Gerard Martín;es ESP;DF;23;0.0;11;1028.0;11.4;1.0;3.0;4.0;1.0;0.0;0.0;2.0;0.0;0.5;0.5;1.1;1.6;10.0;40.0;122.0;0.35;Barcelona;0.0;0.0;0.0;0.0;0.08754863813229571;0.04377431906614786;0.0963035019455253;0.14007782101167315;8.0
Ronald Araújo;uy URU;DF;26;0.0;10;691.0;7.7;1.0;1.0;2.0;1.0;0.0;0.0;3.0;0.0;1.0;1.0;0.4;1.4;6.0;47.0;3.0;0.26;Barcelona;0.0;0.0;0.0;0.0;0.13024602026049203;0.13024602026049203;0.05209840810419682;0.18234442836468884;7.0
Frenkie de Jong;nl NED;MF;28;0.0;9;1133.0;12.6;2.0;2.0;4.0;2.0;0.0;0.0;3.0;0.0;0.7;0.7;2.0;2.6;36.0;119.0;23.0;0.32;Barcelona;0.0;0.0;0.0;0.0;0.1588702559576346;0.05560458958517211;0.1588702559576346;0.2144748455428067;7.0
Marc-André ter Stegen;de GER;GK;33;0.0;8;674.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Héctor Fort;es ESP;DF;18;0.0;5;585.0;6.5;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.2;0.2;0.9;1.1;14.0;26.0;33.0;0.0;Barcelona;0.0;0.0;0.0;0.0;0.0;0.03076923076923077;0.13846153846153847;0.16923076923076924;8.0
Pablo Torre;es ESP;MF,FW;22;0.0;4;310.0;3.4;3.0;1.0;4.0;3.0;0.0;0.0;0.0;0.0;0.4;0.4;0.8;1.1;5.0;17.0;20.0;1.16;Barcelona;0.0;0.0;0.0;0.0;0.8709677419354839;0.11612903225806452;0.23225806451612904;0.3483870967741936;10.0
Marc Bernal;es ESP;MF;17;0.0;3;242.0;2.7;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.1;0.1;0.0;0.1;0.0;8.0;2.0;0.0;Barcelona;0.0;0.0;0.0;0.0;0.0;0.0371900826446281;0.0;0.0371900826446281;8.0
Ansu Fati;es ESP;FW;22;0.0;3;233.0;2.6;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.2;1.1;7.0;6.0;32.0;0.0;Barcelona;0.0;0.0;0.0;0.0;0.0;0.38626609442060084;0.07725321888412018;0.463519313304721;9.0
Pau Victor Delgado;es ESP;FW;23;0.0;2;317.0;3.5;2.0;1.0;3.0;2.0;0.0;0.0;2.0;0.0;3.0;3.0;0.9;3.9;6.0;11.0;28.0;0.85;Barcelona;0.0;0.0;0.0;0.0;0.5678233438485805;0.8517350157728707;0.2555205047318612;1.1072555205047319;8.0
Andreas Christensen;dk DEN;DF;29;0.0;2;227.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;14.0;1.0;0.0;Barcelona;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0
Sergi Dominguez;es ESP;DF;20;0.0;2;172.0;1.9;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;1.0;0.0;Barcelona;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0
Daniel Rodriguez;es ESP;FW;19;0.0;1;37.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;9.0;0.0;Barcelona;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Ander Astralaga;es ESP;GK;21;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Álvaro Cortés;es ESP;DF;20;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Andres Cuenca;es ESP;DF;17;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Noah Darvich;de GER;MF;18;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Landry Farré;es ESP;DF;18;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Guillermo Fernandez;es ESP;MF;16;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Toni Fernández;es ESP;MF;16;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Diego Kochen;us USA;GK;19;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Alexis Olmedo;es ESP;DF;19;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Álex Valle;es ESP;DF;21;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Áron Yaakobishvili;hu HUN;GK;19;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Joško Gvardiol;hr CRO;DF;23;0.0;34;3097.0;34.4;5.0;0.0;5.0;5.0;0.0;0.0;2.0;0.0;4.4;4.1;2.0;6.1;87.0;256.0;112.0;0.15;Manchester City;0.0;0.0;0.0;0.0;0.14530190506942203;0.1278656764610914;0.05812076202776881;0.1859864384888602;8.0
Erling Haaland;no NOR;FW;24;0.0;29;2570.0;28.6;21.0;3.0;24.0;19.0;2.0;3.0;2.0;0.0;20.9;18.5;2.9;21.4;20.0;18.0;110.0;0.77;Manchester City;1.0;0.0;0.0;1.0;0.735408560311284;0.7319066147859922;0.10155642023346302;0.8334630350194551;8.0
Bernardo Silva;pt POR;MF,FW;30;0.0;27;2491.0;27.7;3.0;4.0;7.0;3.0;0.0;0.0;7.0;0.0;3.6;3.6;4.4;8.0;98.0;122.0;191.0;0.25;Manchester City;0.0;0.0;0.0;0.0;0.1083902047370534;0.13006824568446407;0.15897230028101167;0.28904054596547574;3.0
Ederson;br BRA;GK;31;0.0;24;2140.0;23.8;0.0;4.0;4.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.5;1.5;0.0;2.0;0.0;0.17;Manchester City;0.0;0.0;0.0;0.0;0.0;0.0;0.0630841121495327;0.0630841121495327;7.0
Mateo Kovačić;hr CRO;MF;31;0.0;24;2132.0;23.7;6.0;1.0;7.0;6.0;0.0;0.0;5.0;0.0;1.9;1.9;3.6;5.4;54.0;156.0;15.0;0.3;Manchester City;0.0;0.0;0.0;0.0;0.25328330206378985;0.08020637898686678;0.1519699812382739;0.2321763602251407;5.0
Rúben Dias;pt POR;DF;28;0.0;23;2091.0;23.2;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.5;1.5;0.3;1.8;38.0;143.0;8.0;0.0;Manchester City;0.0;0.0;0.0;0.0;0.0;0.06456241032998565;0.012912482065997129;0.07747489239598278;6.0
İlkay Gündoğan;de GER;MF;34;0.0;23;2050.0;22.8;0.0;5.0;5.0;0.0;0.0;0.0;1.0;0.0;2.7;2.7;2.8;5.5;57.0;115.0;86.0;0.22;Manchester City;0.0;0.0;0.0;0.0;0.0;0.11853658536585367;0.12292682926829267;0.24146341463414633;9.0
Rico Lewis;eng ENG;DF,MF;20;0.0;21;1893.0;21.0;1.0;2.0;3.0;1.0;0.0;0.0;5.0;1.0;1.4;1.4;0.3;1.7;39.0;107.0;78.0;0.14;Manchester City;0.0;0.0;0.0;0.0;0.04754358161648177;0.06656101426307448;0.014263074484944531;0.08082408874801901;2.0
Manuel Akanji;ch SUI;DF;29;0.0;21;1834.0;20.4;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.1;1.1;0.4;1.5;41.0;150.0;6.0;0.0;Manchester City;0.0;0.0;0.0;0.0;0.0;0.05398037077426391;0.01962922573609597;0.07360959651035988;7.0
Sávio;br BRA;FW,MF;21;0.0;21;1749.0;19.4;1.0;8.0;9.0;1.0;0.0;0.0;3.0;0.0;5.0;5.0;6.9;11.9;135.0;66.0;244.0;0.46;Manchester City;0.0;0.0;0.0;0.0;0.051457975986277875;0.25728987993138935;0.35506003430531735;0.6123499142367067;7.0
Phil Foden;eng ENG;MF,FW;24;0.0;20;1768.0;19.6;7.0;2.0;9.0;7.0;0.0;0.0;2.0;0.0;5.2;5.2;4.8;9.9;50.0;103.0;128.0;0.46;Manchester City;1.0;0.0;0.0;1.0;0.35633484162895923;0.2647058823529412;0.2443438914027149;0.5090497737556561;8.0
Kevin De Bruyne;be BEL;MF,FW;33;0.0;18;1628.0;18.1;4.0;7.0;11.0;4.0;0.0;0.0;2.0;0.0;4.2;4.2;7.9;12.1;50.0;153.0;143.0;0.61;Manchester City;0.0;0.0;0.0;0.0;0.22113022113022113;0.2321867321867322;0.4367321867321868;0.668918918918919;8.0
Matheus Nunes;pt POR;DF,MF;26;0.0;17;1494.0;16.6;1.0;5.0;6.0;1.0;0.0;0.0;4.0;0.0;0.9;0.9;4.2;5.1;59.0;69.0;156.0;0.36;Manchester City;0.0;0.0;0.0;0.0;0.06024096385542168;0.05421686746987951;0.25301204819277107;0.3072289156626506;6.0
