Player;Nation;Pos;Age;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;G+A-PK;clubs;GoalsPer90;xGPer90;xAPer90;xGContribution;FairPlayScore;Nb_IndividualTitles;IndividualTitlesDetail;TeamTitles_Team;TeamTitlesDetail;ImpactScore;RecordsScore;PopularityScore;Finalist_UCL;BookmakersScore
Lorenzo Aguado;es ESP;DF;22;2.0;0;5.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Real Madrid;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Daniel Yáñez;es ESP;FW;18;1.0;0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Real Madrid;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Diego Aguado;es ESP;DF;18;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Real Madrid;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
David Jiménez;es ESP;DF;21;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Real Madrid;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Youssef Lekhedim;es ESP;DF;19;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Real Madrid;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Sergio Mestre;es ESP;GK;20;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Real Madrid;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Mario Rivas;es ESP;DF;18;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Real Madrid;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Victor Valdepeñas;es ESP;DF;18;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Real Madrid;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Pedri;es ESP;MF;22;0.0;34;2799.0;31.1;4.0;5.0;9.0;4.0;0.0;0.0;3.0;0.0;2.2;2.2;7.4;9.6;92.0;355.0;134.0;0.29;Barcelona;0.1286173633440514;0.0707395498392283;0.2379421221864952;0.3086816720257235;7.0;2;Joueur du mois LaLiga Avril 2025,LA LIGA player of the season 2025 by THE ATHLETIC;3.0;Liga, Coupe dâEspagne, Supercoupe;8.8;7.0;8.7;0.0;4.2
Raphinha;br BRA;FW,MF;28;0.0;31;2776.0;30.8;18.0;9.0;27.0;16.0;2.0;2.0;4.0;0.0;19.2;17.6;12.1;29.7;93.0;135.0;344.0;0.81;Barcelona;0.5835734870317003;0.6224783861671469;0.3922910662824207;1.0147694524495676;6.0;1;Best European player of the year 2025 by THE ATHLETIC;3.0;Liga, Coupe dâEspagne, Supercoupe;9.0;6.0;7.9;0.0;3.3
Robert Lewandowski;pl POL;FW;36;0.0;31;2579.0;28.7;25.0;2.0;27.0;22.0;3.0;4.0;1.0;0.0;24.8;21.7;2.3;24.0;26.0;48.0;160.0;0.84;Barcelona;0.8724311748739821;0.8654517254749904;0.0802636680884063;0.9457153935633968;9.0;0;Aucun;3.0;Liga, Coupe dâEspagne, Supercoupe;;;;;
Lamine Yamal;es ESP;FW;17;0.0;30;2766.0;30.7;9.0;13.0;22.0;9.0;0.0;0.0;3.0;0.0;9.6;9.6;13.9;23.5;179.0;156.0;426.0;0.72;Barcelona;0.2928416485900217;0.3123644251626898;0.4522776572668113;0.764642082429501;7.0;1;Laureus Breakthrough of the Year 2025;3.0;Liga, Coupe dâEspagne, Supercoupe;9.1;10.0;8.8;0.0;3.0
Jules Koundé;fr FRA;DF;26;0.0;29;2605.0;28.9;2.0;3.0;5.0;2.0;0.0;0.0;4.0;0.0;1.8;1.8;3.9;5.7;44.0;165.0;190.0;0.17;Barcelona;0.0690978886756238;0.0621880998080614;0.1347408829174664;0.1969289827255278;6.0;0;Aucun;;;;;;;
Pau Cubarsí;es ESP;DF;18;0.0;28;2528.0;28.1;0.0;3.0;3.0;0.0;0.0;0.0;3.0;0.0;0.8;0.8;1.6;2.5;26.0;190.0;6.0;0.11;Barcelona;0.0;0.0284810126582278;0.0569620253164557;0.0854430379746835;7.0;0;Aucun;;;;;;;
Iñigo Martínez;es ESP;DF;34;0.0;28;2490.0;27.7;0.0;4.0;4.0;0.0;0.0;0.0;5.0;0.0;0.5;0.5;2.6;3.1;70.0;260.0;11.0;0.14;Barcelona;0.0;0.0180722891566265;0.0939759036144578;0.1120481927710843;5.0;0;Aucun;;;;;;;
Alejandro Balde;es ESP;DF;21;0.0;25;2204.0;24.5;0.0;4.0;4.0;0.0;0.0;0.0;2.0;0.0;0.5;0.5;3.4;3.9;104.0;90.0;241.0;0.16;Barcelona;0.0;0.0204174228675136;0.1388384754990925;0.1592558983666061;8.0;0;Aucun;3.0;Liga, Coupe dâEspagne, Supercoupe;;;;;
Marc Casado;es ESP;MF;21;0.0;20;1611.0;17.9;1.0;3.0;4.0;1.0;0.0;0.0;4.0;1.0;1.1;1.1;1.4;2.4;12.0;107.0;24.0;0.22;Barcelona;0.0558659217877095;0.0614525139664804;0.0782122905027933;0.1396648044692737;3.0;0;Aucun;;;;;;;
Wojciech Szczęsny;pl POL;GK;35;0.0;15;1350.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Iñaki Peña;es ESP;GK;26;0.0;14;1306.0;14.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;9.0;0;Aucun;;;;;;;
Eric García;es ESP;DF,MF;24;0.0;13;1476.0;16.4;2.0;3.0;5.0;2.0;0.0;0.0;4.0;0.0;2.3;2.3;0.8;3.1;18.0;103.0;22.0;0.3;Barcelona;0.1219512195121951;0.1402439024390244;0.048780487804878;0.1890243902439024;6.0;0;Aucun;;;;;;;
Dani Olmo;es ESP;MF,FW;27;0.0;13;1185.0;13.2;9.0;3.0;12.0;8.0;1.0;1.0;1.0;0.0;5.7;4.9;2.9;7.8;31.0;79.0;96.0;0.84;Barcelona;0.6835443037974683;0.4329113924050633;0.220253164556962;0.6531645569620254;9.0;0;Aucun;;;;;;;
Gavi;es ESP;MF,FW;20;0.0;13;995.0;11.1;1.0;1.0;2.0;1.0;0.0;0.0;4.0;0.0;0.9;0.9;1.6;2.4;13.0;74.0;41.0;0.18;Barcelona;0.0904522613065326;0.0814070351758794;0.1447236180904522;0.2261306532663316;6.0;0;Aucun;3.0;Liga, Coupe dâEspagne, Supercoupe;;;;;
Ferrán Torres;es ESP;FW,MF;25;0.0;12;1106.0;12.3;10.0;6.0;16.0;10.0;0.0;0.0;1.0;1.0;8.0;8.0;3.1;11.0;23.0;35.0;98.0;1.3;Barcelona;0.8137432188065099;0.650994575045208;0.2522603978300181;0.903254972875226;6.0;0;Aucun;;;;;;;
Fermin López;es ESP;MF,FW;22;0.0;11;1162.0;12.9;6.0;4.0;10.0;6.0;0.0;0.0;4.0;1.0;5.5;5.5;3.1;8.6;28.0;73.0;101.0;0.77;Barcelona;0.4647160068846815;0.4259896729776248;0.2401032702237521;0.6660929432013769;3.0;0;Aucun;;;;;;;
